Transaction, Victim Sender, Victim Receiver, Attacked Contract, Attacked Function, Error
0xf65eb7c3b1438b4e5b6ce5a775ecb0eef537b9dbdd22604a67f6699cd7b81907, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x2d1afa1be3cf71594994bd860ce35eaace186cdc193d771ee8e62a36acd4bc84, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x58fb5a836e3e7ac93d15d1c8a5bc4585004be17a1a31f8d47ab614ef474f9a99, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xdd974d5c2e2928dea5f71b9825b8b646686bd200, execute, Failed to get attacked function from relayed transaction
0x4becc92aee0e8b50e50adbf16d5813c45548c6950593322b8d1077bceeddd469, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x00b3709966abbf93ead070dffbcb6413dc153711fbd0f4152ea46d6c6e220cb4, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x6bfa119a191576ba26bc5e711432aca0cfda04de, execute, Invalid Address format
0xe29b7601f9c86bfd44c9101bfe9523724131da2b974f1ecdcd3341dca7849ff4, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x05914dcf903a1f49d52e7fdb5b61fb6b1411e18eaff1a462d8eec8e8cf3311df, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, removeLiquidityETH, 
0x0afd87d79e430604b639a2795e88abc84928bf572e4e33f7a924fd0caefe32f8, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xa8a020f0a17b3b206b46a93b46b015062758e3b4453ef6c2f73e08b48e1b3ebb, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x04833244c2895459de9d376782a380e58792bfc8f5324dacf4289d9ed581c268, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xa7c36ef18e77ad34c80fcbdbe10455e64d01116c, execute, Contract source code not verified
0x1886006f7977416971886c25a4be6a4b98636de8e6bdb2e67a90dd5aac521b4c, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapETHForExactTokens, 
0x610974b424184618e9df6d0a645a59b7efa2fce13b510921a8ae97e565b3e2a7, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x87d32fc6e007e78620faeb3439870a620e928db56f64efa2f60af6ca2cbec8be, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d, redeem, 
0x55cb9716f42242c45c835ff31ee9dd7aed867547f0499e45fb48c562ae7bad81, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x68175a8ed920564db8f27a04e38c94373d4ac8b67fac3f91591c9112522d2151, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x2b6d87f12b106e1d3fa7137494751566329d1045, 0x82ecd135dce65fbc6dbdd0e4237e0af93ffd5038, safeLockETH, 
0x23839b00f5376e45f6ec8d35c5f22b574c38bbe1cb34a69f41a8e50b2e2ed9cf, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xbcc492df37bd4ec651d46d72230e340c9ec1950c, swapExactETHAndAddLiquidity, 
0x4028dab9e9996e9386a5c0a1cd7dd59559adbf7bfaf81e075d455130aee15cde, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x5c1a404a5c7d066f567ebcb10c4db28b0575c587a5ec0b99dafe8cf50b77acd4, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, addLiquidityETH, 
0xaf09f7958f01870f857b380d26f18bc5881c0055aef534435ef391e56147ff0c, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xd26137be06a06e0018f43624f0937c8e4af8e01a6998b7f58de530db998749ce, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x67933cccf3f6b40148271f5e7b5408fd1d5b2837, 0xceda8318522d348f1d1aca48b24629b8fbf09020, issueRebalancingSetWrappingEther, 
0x508e35cbecced903404ef9fdbb34f87f39a1fb6b99d82e9b8ca49ab68d9774f9, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x7dbaded9474be8ea9d8c97fda415de640ef5f3b25e2f0fd93c4ef2c864a64e38, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x7074704dc7c41e81224775d1c233400fc6869b163e23eacf49b9b3cdaf7c5548, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xdb5b8901734406a9f1a18a82b5adad2676697d32e01e45bb277ffa02319481c2, 0x4d953115678b15ce0b0396bcf95db68003f86fb5, 0x0240539ec9ec47a9d0dd4c5bc37435093a3c19a2, 0x34cfac646f301356faa8b21e94227e3583fe3f5f, execTransaction, 
0x1508bb9fba2fc42a111f15c20abcd41a28c6691d5ff63a98f447bd3684b1115f, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xe8082c1b3b1d8d41f2b2d7fb120dbf7688f22c78d7ed57fde73c420f9b575f22, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x6726b108e001a82c1f1c425965ad326842d18796b2790758c7dd34f7af6a7db8, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x67933cccf3f6b40148271f5e7b5408fd1d5b2837, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, execute, Failed to get attacked function from relayed transaction
0x9421281d719632b1866a9fd2cb542b162fb18ff5d16895195e35ca894cdd9b4d, 0x19799f272574079a8dd591c13f7aed0d2f7aa011, 0x57805e5a227937bac2b0fdacaa30413ddac6b8e1, 0x57805e5a227937bac2b0fdacaa30413ddac6b8e1, batchExec, 
0xf924d463b05d281248ef915414b2311d4c612aae63d00a36530d6ce83f67f556, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xdd974d5c2e2928dea5f71b9825b8b646686bd200, execute, Failed to get attacked function from relayed transaction
0xf1baff11117f2760299ca2e215c0474f417a56c808064643f8dae32338e337ec, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForTokens, 
0x45e8f17853feb6d4a11fd1cddb5a564142aca59d07b996d3dd613ea9e6e75638, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0xcd23f51912ea8fff38815f628277731c25c7fb02, 0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667, execute, Invalid Address format
0x774bcf42a57082c331723cefd9c37f298a31833442c1e796c4287ac7a9869857, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x11111254369792b2ca5d084ab5eea397ca8fa48b, swap, 
0xda0bd2a558cf349adb72de54753d79bb001a2c662eaea2de72be46663e4a2967, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x514910771af9ca656af840dff83e8264ecf986ca, execute, Failed to get attacked function from relayed transaction
0x73e0082bfe07445d8faae474dd3fb85e9afb0d7104e3f7363b1ddba908ecde4b, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x11111254369792b2ca5d084ab5eea397ca8fa48b, swap, 
0x925677d05d2dc2d3797d8dc8f98a267067a1fba8d49569939374ad2f358c942f, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x6b175474e89094c44da98b954eedeac495271d0f, execute, Failed to get attacked function from relayed transaction
0xf22386857aa62218a85f303639299fa1979400c3f19c7be26b7563357e347709, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x11111254369792b2ca5d084ab5eea397ca8fa48b, swap, 
0xbe54bd29dda250b5dd0a09900032d2ed40c67f09fbee89ef7f052a2efb90e5a4, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x1272d4d96c4a3f6ecd952ac958ad6bada8ca1275a5258e9a1bc601d93e05d39c, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
