Transaction, Token Contract, Token Address
0xd581828daffb0d0ef99a266ea437d87005987917118fd178d8703d7946f73645, 0x4a220e6096b25eadb88358cb44068a3248254675, Quant (QNT)
0xd34cba0a5365b74d77e5da3556f5be743c74d77093d6e13356d354cabcbaecea, 0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, Numeraire (NMR)
0x51f08c3b89c4758b342de935e430df7ea2ed3c9e6c44677b446823447ff6c2f0, 0x1776e1f26f98b1a5df9cd347953a26dd3cb46671, Numeraire (NMR)
0x405488f5dd7869938726374ad41ed1be3d828610af709479991fc2a87ffcbe14, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x405488f5dd7869938726374ad41ed1be3d828610af709479991fc2a87ffcbe14, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xa0798cf819f2c82052b351f610cdb95eb26e42c8159dd739f0e34243d6050591, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xe1f5a898754cfab3be5170c70545bf525e2f24ad9c0ac4325f2ee85617393e66, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0xe6da412bdfa9425bc1bc6af6efc6dc794dabffeae560ccb723e57828bc9d19d6, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0xaeefe9483be91c351181879fe2dd1f0dcb464063c484f3ed54df451c72d68507, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xefb4d9453f9bbeaa5c77ee879923ac1027f5677f5ce2b4fc0b4b2cc192638e3f, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0x6b4528d24bcaed9db124ec322651a7ff78ab87e806bd3ccabbc378133c2b0fdf, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0x61a511d029a1563e8e80891581f3a39d6f2dbb183ed568f7af219b9de9d57014, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x5e3baeb8015812a5eab66e5e33a74b67999187414c2b766edbc60f616374b983, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x5e3baeb8015812a5eab66e5e33a74b67999187414c2b766edbc60f616374b983, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x5f394e54595eab445fa67ebdb9b7fce789bb9a914f58098435d04e4e4e3241a5, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x793cfff6874888c12a5bf0d0b6ef777aae51adeb0e5347495e9673f3bfddc8e7, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x9a75bb2f4e67980e229d005cd64aa2285f93deabca44e353dcc9506caa4a1200, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
